model,seed,layers,activation,optimizer,learning_rate,test_accuracy,test_loss,precision,recall
mlp_char_tokens,2429128311,1,LeakyReLU,SGD,0.0001,0.5567,0.6891,0.5585,0.5407
mlp_char_tokens,754412604,1,LeakyReLU,RMSProp,0.0001,0.608,0.6465,0.595,0.677
mlp_char_tokens,2932924231,3,LeakyReLU,Adam,0.001,0.6096,0.689,0.5883,0.7299
mlp_char_tokens,3966537639,3,LeakyReLU,Adam,0.001,0.6066,0.6267,0.5988,0.6459
mlp_char_tokens,2735389703,2,LeakyReLU,SGD,0.001,0.5755,0.6688,0.5682,0.6292
mlp_char_tokens,2003703635,3,ReLU,SGD,0.0005,0.5743,0.6877,0.5673,0.6263
mlp_char_tokens,132350112,2,LeakyReLU,RMSProp,0.001,0.6078,0.6646,0.606,0.6163
mlp_char_tokens,3912798160,2,Tanh,RMSProp,0.0005,0.6088,0.6364,0.6047,0.6285
mlp_char_tokens,1716319075,1,LeakyReLU,Adam,0.0001,0.6091,0.6499,0.5964,0.6753
mlp_char_tokens,864807403,1,ReLU,Adam,0.0001,0.6076,0.6454,0.5982,0.6555
mlp_char_tokens,3443530898,2,ReLU,Adam,0.001,0.606,0.6963,0.5863,0.7195
mlp_char_tokens,984542959,3,LeakyReLU,RMSProp,0.001,0.603,0.5991,0.6075,0.5817
mlp_char_tokens,3928135332,3,Tanh,SGD,0.0001,0.5463,0.7048,0.5485,0.5232
mlp_char_tokens,1092581169,3,ReLU,Adam,0.0001,0.6074,0.6394,0.6025,0.6314
mlp_char_tokens,1651678712,2,LeakyReLU,RMSProp,0.0001,0.6076,0.6467,0.5859,0.7339
mlp_char_tokens,3520710745,2,LeakyReLU,SGD,0.0005,0.5522,0.6724,0.5492,0.5819
mlp_char_tokens,3236150365,2,LeakyReLU,RMSProp,0.0001,0.6074,0.6394,0.5992,0.6487
mlp_char_tokens,2063790809,3,ReLU,Adam,0.0001,0.605,0.7035,0.6107,0.5791
mlp_char_tokens,283461532,1,ReLU,RMSProp,0.0001,0.6091,0.6435,0.608,0.614
mlp_char_tokens,3701947082,3,Tanh,Adam,0.0005,0.6048,0.6459,0.61,0.581
mlp_char_tokens,1824514575,3,LeakyReLU,Adam,0.0001,0.606,0.6395,0.609,0.592
mlp_char_tokens,2791093451,2,Tanh,RMSProp,0.0001,0.6102,0.642,0.6,0.6614
mlp_char_tokens,1954894850,3,LeakyReLU,SGD,0.0001,0.5344,0.6916,0.5339,0.5418
mlp_char_tokens,3057866353,2,Tanh,Adam,0.0005,0.6076,0.6386,0.6037,0.6263
mlp_char_tokens,2508045411,1,ReLU,RMSProp,0.0005,0.6094,0.6753,0.605,0.6302
mlp_char_tokens,1923692550,1,ReLU,Adam,0.001,0.6098,0.6371,0.599,0.6638
mlp_char_tokens,1484262530,1,LeakyReLU,Adam,0.001,0.6091,0.6377,0.5983,0.6642
mlp_char_tokens,1102920363,1,ReLU,Adam,0.0001,0.6074,0.649,0.5928,0.6862
mlp_char_tokens,2095562557,2,ReLU,RMSProp,0.001,0.6,0.6368,0.58,0.7246
mlp_char_tokens,1125914879,3,LeakyReLU,RMSProp,0.0005,0.6004,0.6286,0.6115,0.5509
mlp_char_tokens,2715271940,1,ReLU,Adam,0.001,0.6099,0.6439,0.6016,0.6504
mlp_char_tokens,707201141,2,LeakyReLU,RMSProp,0.0005,0.6028,0.6422,0.6269,0.5078
mlp_char_tokens,1283014001,3,Tanh,RMSProp,0.0001,0.6068,0.6389,0.6146,0.5726
mlp_char_tokens,5678315,2,LeakyReLU,SGD,0.0005,0.5917,0.6913,0.577,0.6866
mlp_char_tokens,4272738778,2,LeakyReLU,Adam,0.0001,0.6102,0.698,0.6147,0.5904
mlp_char_tokens,3132570617,1,Tanh,RMSProp,0.0001,0.6071,0.6806,0.5909,0.6964
mlp_char_tokens,3624965585,2,ReLU,RMSProp,0.0005,0.6089,0.6414,0.6064,0.6209
mlp_char_tokens,2287301299,2,ReLU,SGD,0.0001,0.5286,0.6887,0.5261,0.5748
mlp_char_tokens,1737970404,3,ReLU,RMSProp,0.0005,0.6021,0.6526,0.5905,0.666
mlp_char_tokens,3045827686,2,LeakyReLU,SGD,0.0001,0.5125,0.7011,0.5119,0.5374
mlp_char_tokens,1082806321,1,LeakyReLU,Adam,0.001,0.611,0.6872,0.5958,0.6905
mlp_char_tokens,49238479,3,ReLU,Adam,0.0005,0.5988,0.6235,0.5796,0.719
mlp_char_tokens,1086815694,3,Tanh,SGD,0.001,0.6056,0.6463,0.6003,0.6321
mlp_char_tokens,1858292909,3,Tanh,Adam,0.0001,0.6071,0.6352,0.6019,0.6326
mlp_char_tokens,3223207,1,Tanh,RMSProp,0.0005,0.608,0.6476,0.5921,0.6941
mlp_char_tokens,1324125962,2,Tanh,SGD,0.0001,0.5488,0.6737,0.5465,0.5734
mlp_char_tokens,3884532392,1,Tanh,SGD,0.001,0.5995,0.6951,0.6004,0.595
mlp_char_tokens,1702456564,3,ReLU,SGD,0.0001,0.5348,0.6994,0.5342,0.5435
mlp_char_tokens,3179965215,3,LeakyReLU,SGD,0.0001,0.5615,0.6631,0.5551,0.6198
mlp_char_tokens,278210556,2,ReLU,SGD,0.0005,0.5923,0.707,0.584,0.6417
mlp_char_tokens,3192363584,2,ReLU,Adam,0.001,0.6063,0.6331,0.5934,0.6756
mlp_char_tokens,3167604379,1,LeakyReLU,RMSProp,0.0005,0.6098,0.6423,0.6055,0.6306
mlp_char_tokens,776869041,3,ReLU,Adam,0.0005,0.5978,0.6786,0.5803,0.7064
mlp_char_tokens,3537289673,2,LeakyReLU,RMSProp,0.0001,0.6065,0.7079,0.6101,0.5904
